level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	14	0	32	0	102.500000	448.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	32	0	102.50	448.34	4.36	9.00	100	3
4	1	14	0	33	0	102.500000	455.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	33	0	102.50	455.84	4.36	9.00	100	4
4	1	14	0	34	0	102.500000	463.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	34	0	102.50	463.34	4.36	9.00	100	3
4	1	14	0	35	0	102.500000	470.840000	10.125000	9.000000	-1	###LINE###
5	1	14	0	35	0	102.50	470.84	10.13	9.00	100	NA
3	1	15	0	0	0	124.500000	188.340000	46.440000	291.500000	-1	###FLOW###
4	1	15	0	0	0	124.500000	188.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	0	0	124.50	188.34	46.44	9.00	100	27000-28899
4	1	15	0	1	0	124.500000	195.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	1	0	124.50	195.84	46.44	9.00	100	28900-28999
4	1	15	0	2	0	124.500000	203.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	2	0	124.50	203.34	46.44	9.00	100	29000-29399
4	1	15	0	3	0	124.500000	210.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	3	0	124.50	210.84	46.44	9.00	100	29400-29499
4	1	15	0	4	0	124.500000	218.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	4	0	124.50	218.34	46.44	9.00	100	29500-29799
4	1	15	0	5	0	124.500000	225.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	5	0	124.50	225.84	46.44	9.00	100	29800-32499
4	1	15	0	6	0	124.500000	237.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	6	0	124.50	237.34	46.44	9.00	100	32500-32599
4	1	15	0	7	0	124.500000	244.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	7	0	124.50	244.84	46.44	9.00	100	32600-32999
4	1	15	0	8	0	124.500000	252.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	8	0	124.50	252.34	46.44	9.00	100	33000-33499
4	1	15	0	9	0	124.500000	259.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	9	0	124.50	259.84	46.44	9.00	100	33500-33899
4	1	15	0	10	0	124.500000	267.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	10	0	124.50	267.34	46.44	9.00	100	33900-33999
4	1	15	0	11	0	124.500000	274.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	11	0	124.50	274.84	46.44	9.00	100	34000-34099
4	1	15	0	12	0	124.500000	286.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	12	0	124.50	286.34	46.44	9.00	100	34100-34199
4	1	15	0	13	0	124.500000	293.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	13	0	124.50	293.84	46.44	9.00	100	34200-34799
4	1	15	0	14	0	124.500000	301.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	14	0	124.50	301.34	46.44	9.00	100	34800-34899
4	1	15	0	15	0	124.500000	308.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	15	0	124.50	308.84	46.44	9.00	100	34900-34999
4	1	15	0	16	0	124.500000	316.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	16	0	124.50	316.34	46.44	9.00	100	35000-36499
4	1	15	0	17	0	124.500000	323.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	17	0	124.50	323.84	46.44	9.00	100	36500-36699
4	1	15	0	18	0	124.500000	335.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	18	0	124.50	335.34	46.44	9.00	100	36700-37599
4	1	15	0	19	0	124.500000	342.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	19	0	124.50	342.84	46.44	9.00	100	37600-37999
4	1	15	0	20	0	124.500000	350.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	20	0	124.50	350.34	46.44	9.00	100	38000-38699
4	1	15	0	21	0	124.500000	357.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	21	0	124.50	357.84	46.44	9.00	100	38700-38799
4	1	15	0	22	0	124.500000	365.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	22	0	124.50	365.34	46.44	9.00	100	38800-38999
4	1	15	0	23	0	124.500000	372.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	23	0	124.50	372.84	46.44	9.00	100	39000-39299
4	1	15	0	24	0	124.500000	384.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	24	0	124.50	384.34	46.44	9.00	100	39300-39399
4	1	15	0	25	0	124.500000	391.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	25	0	124.50	391.84	46.44	9.00	100	39400-39699
4	1	15	0	26	0	124.500000	399.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	26	0	124.50	399.34	46.44	9.00	100	39700-40299
4	1	15	0	27	0	124.500000	406.840000	46.440000	9.000000	-1	###LINE###
5	1	15	0	27	0	124.50	406.84	46.44	9.00	100	40300-41899
4	1	15	0	28	0	124.500000	414.340000	46.440000	9.000000	-1	###LINE###
5	1	15	0	28	0	124.50	414.34	46.44	9.00	100	41900-41999
4	1	15	0	29	0	124.500000	421.840000	46.440000	9.000000	-1	###LINE###
